team_id_lnp,team_name,voiv
18956,Stolem Gniewino,Pomorskie
18957,Gks Przodkowo,Pomorskie
18958,Polonia Środa Wlkp.,Wielkopolskie
18959,Błękitni Stargard,Zachodniopomorskie
18960,Pogoń Nowe Skalmierzyce,Wielkopolskie
18961,Unia Janikowo,Kujawsko-Pomorskie
18962,Bałtyk Koszalin,Zachodniopomorskie
18963,Elana Toruń,Kujawsko-Pomorskie
18964,Olimpia Grudziądz,Kujawsko-Pomorskie
18965,Polski Cukier Kluczevia Stargard,Zachodniopomorskie
18966,Starogard Gdański,Pomorskie
18967,Pogoń II Szczecin,Zachodniopomorskie
18968,Zawisza Bydgoszcz,Kujawsko-Pomorskie
18969,Jarota Jarocin,Wielkopolskie
18970,Bałtyk Gdynia,Pomorskie
18971,Sokół Kleczew,Wielkopolskie
18972,Świt Szczecin,Zachodniopomorskie
18973,Kotwica Kołobrzeg,Zachodniopomorskie
18982,Tomasovia Tomaszów Lubelski,Lubelskie
18983,Cracovia Kraków,Małopolskie
18984,Unia Tarnów,Małopolskie
18985,Podlasie Biała Podlaska,Lubelskie
18986,Czarni Połaniec,Świętokrzyskie
18987,ŁKS Łagów,Świętokrzyskie
18988,KSZO Ostrowiec Świętokrzyski,Świętokrzyskie
18989,Chełmianka Chełm,Lubelskie
18990,Avia Świdnik,Lubelskie
18991,Stal Stalowa Wola,Podkarpackie
18992,Wólczanka Wólka Pełkińska,Podkarpackie
18993,Podhale Nowy Targ,Małopolskie
18994,Korona Rzeszów,Podkarpackie
18995,Wisła Sandomierz,Świętokrzyskie
18996,Sokół Sieniawa,Podkarpackie
18997,Orlęta-Spomlek Radzyń Podl.,Lubelskie
18998,Siarka Tarnobrzeg,Podkarpackie
18999,Wisłoka Dębica,Podkarpackie
19004,Stal Brzeg,Opolskie
19005,Lechia Zielona Góra,Lubuskie
19006,Odra Wodzisław Śląski,Śląskie
19007,Piast Żmigród,Dolnośląskie
19008,Carina Gubin,Lubuskie
19009,MKS Kluczbork,Opolskie
19010,Karkonosze Jelenia Góra,Dolnośląskie
19011,Gwarek Tarnowskie Góry,Śląskie
19012,LKS Goczałkowice-Zdrój,Śląskie
19013,Ślęza Wrocław,Dolnośląskie
19014,Warta Gorzów Wlkp.,Lubuskie
19015,Foto Higiena Gać,Dolnośląskie
19016,Górnik II Zabrze,Śląskie
19017,GKS Pniówek Pawłowice,Śląskie
19018,Miedź II Legnica,Dolnośląskie
19019,Polonia Bytom,Śląskie
19020,Zagłębie II Lubin,Dolnośląskie
19021,Rekord Bielsko-Biała,Śląskie
19022,KS Kutno,Łódzkie
19023,Broń Radom,Mazowieckie
19024,Mamry Giżycko,Warmińsko-Mazurskie
19025,Lechia Tomaszów Mazowiecki,Łódzkie
19026,Legionovia,Mazowieckie
19027,Jagiellonia II Białystok,Podlaskie
19028,Unia Skierniewice,Łódzkie
19029,Polonia Warszawa,Mazowieckie
19030,Wissa Szczuczyn,Podlaskie
19031,Błonianka Błonie,Mazowieckie
19032,Pilica Białobrzegi,Mazowieckie
19033,Znicz Biała Piska,Warmińsko-Mazurskie
19034,GKS Wikielec,Warmińsko-Mazurskie
19035,Świt Nowy Dwór Mazowiecki,Mazowieckie
19036,ŁKS II Łódź,Łódzkie
19037,Ursus Warszawa,Mazowieckie
19038,Pelikan Łowicz,Łódzkie
19039,Sokół Aleksandrów Łódzki,Łódzkie
19040,Legia II Warszawa,Mazowieckie
