team_id_lnp,team_name,voiv,league
18956,Stolem Gniewino,Pomorskie,III liga
18957,Gks Przodkowo,Pomorskie,III liga
18958,Polonia Środa Wlkp.,Wielkopolskie,III liga
18959,Błękitni Stargard,Zachodniopomorskie,III liga
18960,Pogoń Nowe Skalmierzyce,Wielkopolskie,III liga
18961,Unia Janikowo,Kujawsko-Pomorskie,III liga
18962,Bałtyk Koszalin,Zachodniopomorskie,III liga
18963,Elana Toruń,Kujawsko-Pomorskie,III liga
18964,Olimpia Grudziądz,Kujawsko-Pomorskie,III liga
18965,Polski Cukier Kluczevia Stargard,Zachodniopomorskie,III liga
18966,Starogard Gdański,Pomorskie,III liga
18967,Pogoń II Szczecin,Zachodniopomorskie,III liga
18968,Zawisza Bydgoszcz,Kujawsko-Pomorskie,III liga
18969,Jarota Jarocin,Wielkopolskie,III liga
18970,Bałtyk Gdynia,Pomorskie,III liga
18971,Sokół Kleczew,Wielkopolskie,III liga
18972,Świt Szczecin,Zachodniopomorskie,III liga
18973,Kotwica Kołobrzeg,Zachodniopomorskie,III liga
18982,Tomasovia Tomaszów Lubelski,Lubelskie,III liga
18983,Cracovia Kraków,Małopolskie,III liga
18984,Unia Tarnów,Małopolskie,III liga
18985,Podlasie Biała Podlaska,Lubelskie,III liga
18986,Czarni Połaniec,Świętokrzyskie,III liga
18987,ŁKS Łagów,Świętokrzyskie,III liga
18988,KSZO Ostrowiec Świętokrzyski,Świętokrzyskie,III liga
18989,Chełmianka Chełm,Lubelskie,III liga
18990,Avia Świdnik,Lubelskie,III liga
18991,Stal Stalowa Wola,Podkarpackie,III liga
18992,Wólczanka Wólka Pełkińska,Podkarpackie,III liga
18993,Podhale Nowy Targ,Małopolskie,III liga
18994,Korona Rzeszów,Podkarpackie,III liga
18995,Wisłandomierz,Świętokrzyskie,III liga
18996,Sokół Sieniawa,Podkarpackie,III liga
18997,Orlęta-Spomlek Radzyń Podl.,Lubelskie,III liga
18998,Siarka Tarnobrzeg,Podkarpackie,III liga
18999,Wisłoka Dębica,Podkarpackie,III liga
19004,Stal Brzeg,Opolskie,III liga
19005,Lechia Zielona Góra,Lubuskie,III liga
19006,Odra Wodzisław Śląski,Śląskie,III liga
19007,Piast Żmigród,Dolnośląskie,III liga
19008,Carina Gubin,Lubuskie,III liga
19009,MKS Kluczbork,Opolskie,III liga
19010,Karkonosze Jelenia Góra,Dolnośląskie,III liga
19011,Gwarek Tarnowskie Góry,Śląskie,III liga
19012,LKS Goczałkowice-Zdrój,Śląskie,III liga
19013,Ślęza Wrocław,Dolnośląskie,III liga
19014,Warta Gorzów Wlkp.,Lubuskie,III liga
19015,Foto Higiena Gać,Dolnośląskie,III liga
19016,Górnik II Zabrze,Śląskie,III liga
19017,GKS Pniówek Pawłowice,Śląskie,III liga
19018,Miedź II Legnica,Dolnośląskie,III liga
19019,Polonia Bytom,Śląskie,III liga
19020,Zagłębie II Lubin,Dolnośląskie,III liga
19021,Rekord Bielsko-Biała,Śląskie,III liga
19022,KS Kutno,Łódzkie,III liga
19023,Broń Radom,Mazowieckie,III liga
19024,Mamry Giżycko,Warmińsko-Mazurskie,III liga
19025,Lechia Tomaszów Mazowiecki,Łódzkie,III liga
19026,Legionovia,Mazowieckie,III liga
19027,Jagiellonia II Białystok,Podlaskie,III liga
19028,Unia Skierniewice,Łódzkie,III liga
19029,Polonia Warszawa,Mazowieckie,III liga
19030,Wissa Szczuczyn,Podlaskie,III liga
19031,Błonianka Błonie,Mazowieckie,III liga
