__v,_id,author,createdAt,match,maxRatingScore,noteNo,percentageRating,player,playerCurrentClub,positionPlayed,rating,shirtNo,text,updatedAt
,,6052756a53e2f337408e0f92,,6137d397355196702440a386,4,,50,6137d429dbfe2f47acea098a,6055dbb67a76cf0017dfce00,CBM,2,6,"Środkowy z bloku defensywnego złożonego z 3 obrońców. Dawał wsparcie pomocnicze i możliwość odegrania do tyłu. Mało się komunikował. Starał się rozgrywać piłkę krótko, po ziemi do szerzej ustawionych obrońców. Brak kreowania czy prób zagrania dłuższej piłki. Dwa razy zagrał do środka (pomocnika) oraz dłuższą -  oba niecelne. Nie holował piłki, nie czekał na atak przeciwnika aby wykorzystać ten doskok - w momencie otrzymania podania od razu się starał pozbywać piłki. Nie trafił w piłkę podczas zamieszania w polu karnym, minął się również na wślizgu z piłką.  Widząc, że ma asekurację starał się w drugiej połowie wychodzić wyżej i szybkim doskokiem próbował odbierać piłkę na wysokości 18-25 metra.  Starał się asekurować głównie stronę na której grał Łukasz Piszczek. Podwajał gdy widział, że na środku ma asekuracje.  W jednej z sytuacji był problem z komunikacją pomiędzy nim a bramkarzem.  Wygrał jedną główkę kluczową oraz zaliczył jeden kluczowy odbiór.  Pod koniec meczu asekurował bramkarza podczas wyjścia z pola bramkowego.  Zaliczył pod koniec meczu również dwa błędy - złe ustawienie i zagranie piłki za za plecy, co spowodowało, że nie zdążyłby się obrócić i sfaulował na żółtą kartkę. Podobna sytuacja miała w 96 minucie, gdzie przegrał podobną sytuację i doszło do strzelenia bramki. Warunki fizyczne przyzwoite, na pewno do poprawy. Mentalnie - moim zdaniem są braki, jak na środkowego obrońcę - szczególnie składającą się z 3 zawodników.",
,,6052756a53e2f337408e0f92,,6137d397355196702440a386,4,,50,6137d429dbfe2f47acea0ab4,6059f790e7a99d0017cde178,LWB,2,24,"Bardzo dobry mecz pod względem gry w defensywie. Ciężko było określić jego pozycję na boisku, ponieważ momentami blok defensywy składał się z 4 zawodników,a czasami z 5. Grał bardzo głęboko z tyłu, co powodowało, że tworzyła się luka pomiędzy ofensywą,a defensywą - pomoc nie starała się jej zapełnić.Dobra współpraca z asekuracją oraz z blokiem defenswynym.  Dużo agresywnych, szybkich doskoków do przeciwnika, w momencie nieudanego odbioru lub odegrania - szybki powrót i odbudowa. Podczas posadania piłki starał się grać głównie do przodu lub do boku. Piłki do tyłu były grane w momencie gdy nie było ""opcji"" i ruchu w ofensywie. Brak dośrodkowań czy kluczowych podań. Dobre warunki fizyczne, atletyczna bydowa ciała. Otrzymał żółtą kartkę za statę piłki 1vs3 i faul taktyczny - nie do końca potrzebny ponieważ blok defensywny nie był bardzo wysoko ustawiony. Miał problemy z blokowanie dośrodkowań. Szybkośc do poprawy.",
,,6052756a53e2f337408e0f92,,6137d397355196702440a386,4,,50,6137d428dbfe2f47acea0789,6059f790e7a99d0017cde178,GK,2,1,"Trudno bramkarza ocenić. Miał bardzo mało okazji do wykazania się oraz do kontaktów z piłką. Wyprowadzenie piłki do obrońców ustawionych głównie bliżej linii bocznych. Stracił bramkę po szybkim rozpoczęciu stałego fragmentu gry - udało mu się przykryć krótki słupek, niestety strzału na długi nie był wstanie obronić. Trochę gapiostwo bloku obrony to spowodowało. Pod koniec meczu, zdecydował się wyjść wyżej i przejąć podanie. Zaliczył kiks przy odegraniu jej, lecz obyło się bez konsekwencji. Wyglądał na niezbyt wysokiego bramkarza.",
,,6052756a53e2f337408e0f92,,6137d397355196702440a386,4,,50,6137d429dbfe2f47acea09b1,6059f790e7a99d0017cde178,F,2,11,"Bardzo aktywny i ruchliwy ofensywny zawodnik (grał na pozycji napastnika). Wychodził na pozycję, był pod grą, sporo gry i pracy w defensywie. Pressing drużyny Ślezy był bardzo wysoki, po nieudanym odbiorze lub po dłuższym zagraniu - cofał się w okolice lini środkowej. Potrafił czysto odebrać. Miewał problemy z przyjęciem. Dobre warunki fizyczne.",
,,6047f176c5d45231a400ef77,,6137d397355196702440a387,4,,75,6137d428dbfe2f47acea082a,6059f790e7a99d0017cde178,CM,3,18,"Bardzo dobrze czyta grę, dobrze pressuje i odbiera piłkę. Dobre rozegranie, stara się napędzać akcję",
,,6047f176c5d45231a400ef77,,6137d397355196702440a387,4,,75,60be5e58e0e4a000178a7678,6059f790e7a99d0017cde178,CB,3,22,"Bardzo pewny mecz w defensywie, kilka drobnych błędów. Dobre odbiory oraz wyprowadzenie piłki. Często schodzi do boku ale również wchodzi na połowe przeciwnika aby zaatakować, jest groźny w powietrzu",
,,6047f176c5d45231a400ef7b,,6137d397355196702440a388,4,,75,6137d429dbfe2f47acea08f6,611bf1f6fe16ff48a850e2bd,CB,3,14,"bardzo ciekawy zawodnik 2003 r,dobrze czyta grę, spokój w wyprowadzeniu piłki z własnej strefy, dobra technika podania zarówno krótkiego jak i dłuższego, dobry timing w dojściu do piłki w polu karnym rywala, sprawnie się porusza",
,,6047f176c5d45231a400ef7b,,6137d397355196702440a388,4,,75,6137d429dbfe2f47acea09fc,611bf1f6fe16ff48a850e2bd,RM/LM,3,4,"99 r,szybki, odważny w dryblingu",
,,6047f176c5d45231a400ef7b,,6137d397355196702440a388,4,,50,6137d429dbfe2f47acea0b28,611bf1f6fe16ff48a850e2bd,RB,2,15,"03 r. słabo kontroluje zawodnków wbiegających mu za plecy, lepiej w bezpośrednich pojedynkach, z piłką poprawny gra prosto, średnia zwrotność. Jeśli będzie grał regularnie może zrobić duże postępy",
,,610d7f86c90348001715e2b8,,6137d397355196702440a389,4,,75,6115321c63870a0017cd4eaf,6115315f63870a0017cd4eae,DM/CM,3,8,"gra 1-2 kontakty, często pod grą, szuka progresji podaniem, zabezpiecza grę w def, brak dynamiki; *raport*",
,,610d7f86c90348001715e2b8,,6137d397355196702440a389,4,,75,6137d428dbfe2f47acea0876,6115315f63870a0017cd4eae,LB,3,6,"ofensywnie usposobiony, szybki,dynamiczny, dobra gra 1v1 w of i def, lekkie braki tech.",
,,610d7f86c90348001715e2b8,,6137d397355196702440a389,4,,50,61153ac663870a0017cd4eb1,6115315f63870a0017cd4eae,F,2,9,"gol,asysta, czerw. kartka na nim, dobry tech. schodzi niżej do gry, słaba dynamika",
,,610d7f86c90348001715e2b8,,6137d397355196702440a38a,4,,50,6137d429dbfe2f47acea0a06,604e56756587330017697251,RM/LM,2,10,"gol, dobry 1v1 w of, dynamiczny, częste pojedynki 1v1, techniczny, szuka piłki",
,,610d7f86c90348001715e2b8,,6137d397355196702440a38a,4,,50,611ec61713ca0b0018a8fa69,604e56756587330017697251,DM/CM,2,20,"1-2 kontakty, szuka gry do przodu, schodzi w wolne strefy, dobry odbiór, gol RZK",
,,610d7f86c90348001715e2b8,,6137d397355196702440a38a,4,,50,6137d429dbfe2f47acea08f5,6058ecc1ca90dc001755c7b1,RM/LM,2,12,"wybiegany, szuka gry 1v1, szybki, bierny w def, gol",
,,610d7f86c90348001715e2b8,,6137d397355196702440a38a,4,,75,6137d428dbfe2f47acea07c7,6058ecc1ca90dc001755c7b1,CM/CAM,3,10,"wyszkolony technicznie, progresja podaniem i prowadzeniem, świetny przegląd pola, agresywny, nie bierze udziału w def.",
,,610d7f86c90348001715e2b8,,6137d397355196702440a38a,4,,75,6137d428dbfe2f47acea0849,6058ecc1ca90dc001755c7b1,F,3,9,"2 gole, wysoki, silny, umie się znaleźć w polu karnym, gra na ścianę, groźny w powietrzu, mało schodzi niżej do gry (gra pod obrońcami)",
,,6047f176c5d45231a400ef86,,6137d397355196702440a38b,4,,50,60891b0c35b047001798c4ed,607ed67b9318290017d92529,RB,2,27,Trochę ma brzuszek. Szuka wyjścia podaniem. Idzie za akcją. Niezły technicznie. Braki kondycyjne. Silny. Przeciągnięta wrzutka. Wali lagę,
,,6047f176c5d45231a400ef86,,6137d397355196702440a38b,4,,50,6137d428dbfe2f47acea0823,607ed67b9318290017d92529,LB,2,19,"Dobre warunki fizyczne. Inteligentny . Podłącza się ofensywnie. Party przed dograniem w pole karne. Nie jest łatwo go minąć. Pozycja otwarta. Niezła wrzutka w pole karne, tylko do nikogo. Podłączenia w odpowiednim momencie. Odskoczyła prosta piłka. Waleczny, nie boi się starć",
