__v,_id,author,club,country,createdAt,createdByUserWithRole,firstName,footed,height,isPublic,isSeededFromPlaymakerDb,lastName,lnpID,lnpProfileURL,minut90ProfileURL,position,transfermarktProfileURL,updatedAt,weight,yearOfBirth
,,,611bf1f6fe16ff48a850e2fc,GR,,,Stratos,R,186,FAŁSZ,PRAWDA,Svarnas,,,,CB,https://www.transfermarkt.pl/stratos-svarnas/profil/spieler/318257,,,1997
,,,611bf1f6fe16ff48a850e2fc,RO,,,Bogdan,,185,FAŁSZ,PRAWDA,Racovitan,,,,CB,https://www.transfermarkt.pl/bogdan-racovitan/profil/spieler/804134,,,2000
,,,611bf1f6fe16ff48a850e2fc,SE,,,Gustav,R,187,FAŁSZ,PRAWDA,Berggren,,,,CM,https://www.transfermarkt.pl/gustav-berggren/profil/spieler/258007,,,1997
,,,611bf1f6fe16ff48a850e2fc,RO,,,Deian,R,175,FAŁSZ,PRAWDA,Sorescu,,,,RM,https://www.transfermarkt.pl/deian-sorescu/profil/spieler/379209,,,1997
,,,611bf1f6fe16ff48a850e2fc,UA,,,Vladyslav,R,178,FAŁSZ,PRAWDA,Kochergin,,,,RM,https://www.transfermarkt.pl/vladyslav-kochergin/profil/spieler/248932,,,1996
,,,611bf1f6fe16ff48a850e2fc,BY,,,Ilya,R,188,FAŁSZ,PRAWDA,Shkurin,,,,F,https://www.transfermarkt.pl/ilya-shkurin/profil/spieler/523315,,,1999
,,,611bf1f6fe16ff48a850e2f3,UA,,,Artur,R,190,FAŁSZ,PRAWDA,Rudko,,,,GK,https://www.transfermarkt.pl/artur-rudko/profil/spieler/129646,,,1992
,,,611bf1f6fe16ff48a850e2f3,SE,,,Filip,,189,FAŁSZ,PRAWDA,Dagerstal,,,,CB,https://www.transfermarkt.pl/filip-dagerstal/profil/spieler/270905,,,1997
,,,611bf1f6fe16ff48a850e2f3,NO,,,Kristoffer,R,179,FAŁSZ,PRAWDA,Velde,,,,F/W,https://www.transfermarkt.pl/kristoffer-velde/profil/spieler/499859,,,1999
,,,611bf1f6fe16ff48a850e2ff,HR,,,Dante,,189,FAŁSZ,PRAWDA,Stipica,,,,GK,https://www.transfermarkt.pl/dante-stipica/profil/spieler/86635,,,1991
,,,611bf1f6fe16ff48a850e2ff,GR,,,Konstantinos,R,185,FAŁSZ,PRAWDA,Triantafyllopoulos,,,,CB,https://www.transfermarkt.pl/konstantinos-triantafyllopoulos/profil/spieler/185691,,,1993
,,,611bf1f6fe16ff48a850e2ff,AT,,,Benedikt,R,186,FAŁSZ,PRAWDA,Zech,,,,CB,https://www.transfermarkt.pl/benedikt-zech/profil/spieler/83616,,,1990
,,,611bf1f6fe16ff48a850e2ff,PT,,,Luís,L,181,FAŁSZ,PRAWDA,Mata,,,,LB,https://www.transfermarkt.pl/luis-mata/profil/spieler/258002,,,1997
,,,611bf1f6fe16ff48a850e2ff,BR,,,Léo,L,179,FAŁSZ,PRAWDA,Borges,,,,LB,https://www.transfermarkt.pl/leo-borges/profil/spieler/681692,,,2001
,,,611bf1f6fe16ff48a850e2ff,PL,,,Jakub,R,182,FAŁSZ,PRAWDA,Bartkowski,,,,RB,https://www.transfermarkt.pl/jakub-bartkowski/profil/spieler/130444,,,1991
,,,611bf1f6fe16ff48a850e2ff,PL,,,Damian,R,178,FAŁSZ,PRAWDA,Dabrowski,,,,DM,https://www.transfermarkt.pl/damian-dabrowski/profil/spieler/143118,,,1992
,,,611bf1f6fe16ff48a850e2ff,PL,,,Kamil,L,184,FAŁSZ,PRAWDA,Drygas,,,,CM,https://www.transfermarkt.pl/kamil-drygas/profil/spieler/146067,,,1991
,,,611bf1f6fe16ff48a850e2ff,AM,,,Vahan,L,172,FAŁSZ,PRAWDA,Bichakhchyan,,,,CAM,https://www.transfermarkt.pl/vahan-bichakhchyan/profil/spieler/399348,,,1999
,,,611bf1f6fe16ff48a850e2ff,AT,,,Alexander,R,185,FAŁSZ,PRAWDA,Gorgon,,,,CAM,https://www.transfermarkt.pl/alexander-gorgon/profil/spieler/45425,,,1988
,,,611bf1f6fe16ff48a850e2ff,SE,,,Pontus,L,183,FAŁSZ,PRAWDA,Almqvist,,,,F/W,https://www.transfermarkt.pl/pontus-almqvist/profil/spieler/300532,,,1999
,,,611bf1f6fe16ff48a850e2ff,PL,,,Kamil,R,180,FAŁSZ,PRAWDA,Grosicki,,,,F/W,https://www.transfermarkt.pl/kamil-grosicki/profil/spieler/37920,,,1988
,,,611bf1f6fe16ff48a850e2ff,ES,,,Jean,R,185,FAŁSZ,PRAWDA,Silva,,,,F/W,https://www.transfermarkt.pl/jean-carlos-silva/profil/spieler/282434,,,1996
,,,611bf1f6fe16ff48a850e2ff,PL,,,Rafal,L,182,FAŁSZ,PRAWDA,Kurzawa,,,,F/W,https://www.transfermarkt.pl/rafal-kurzawa/profil/spieler/191895,,,1993
,,,611bf1f6fe16ff48a850e2ff,PL,,,Michal,R,178,FAŁSZ,PRAWDA,Kucharczyk,,,,F/W,https://www.transfermarkt.pl/michal-kucharczyk/profil/spieler/116905,,,1991
,,,611bf1f6fe16ff48a850e2ff,SI,,,Luka,R,177,FAŁSZ,PRAWDA,Zahovic,,,,F,https://www.transfermarkt.pl/luka-zahovic/profil/spieler/169362,,,1995
